avg_income	median_age	median_networth
51498	40	60793
61360	37.2	151354
39513	32.8	19904
36740	36.7	21511
53303	35	146778
33954	38.5	14477
60594	46.6	269313
56941	42.1	178716
48740	43.1	116083
37316	45	113574
61551	42.4	200927
60786	33.3	54393
61165	41.8	225418
61354	36	163846
31554	36	25828
34626	35.8	19990
44004	40.6	86270
63518	39.5	86329
70273	41.2	257294
50567	39.8	97483
77593	37.7	238966
46160	35	101991
58560	37.6	177002
43016	41	74242
59241	40.7	193257
39864	38.3	51057
51237	35.3	111990
37408	41.6	29641
43711	38.8	76926
36080	39.4	27642
35009	43	27929
44681	47.4	116708
36268	49.7	55060
45181	43.5	118281
44167	39.5	123589
40350	38.9	70055
44962	39.9	118585
55140	36.9	112641
70530	42.2	260573
54845	45.7	151190
47642	46.7	138762
49356	41.8	129628
48876	37.9	122171
40285	35.9	22981
39263	47.2	24335
68875	45	280768
46782	37.8	77449
26345	32.5	11354
30560	30.5	13835
40594	34.4	39733
76580	43.8	334802
90211	45.5	448357
71332	42.4	204946
72535	66.8	218857
79482	39.1	305740
69879	36	121477
64931	43.3	236263
67451	39.7	258352
56477	38.5	65860
51747	43.2	91437
48431	35.1	49779
40538	41.5	26235
86460	52.8	430726
48880	41.3	60265
41385	38.2	27889
51005	35.2	70248
53378	40.2	119265
51922	42.5	150994
44628	47.3	107525
51809	38	98775
59590	40	159636
48071	32.3	62943
43247	32	26506
48745	37.4	93389
46436	38.9	53036
55507	39.4	151543
44052	44.1	71738
46012	38.9	78232
62988	37.5	148089
59573	46.6	244221
58271	43.8	148475
53727	43	134953
62587	40.2	188368
60292	45.7	115482
55154	57.3	102747
44963	39.9	24098
62133	55.3	178599
46190	47.1	89805
44226	54	71836
66027	57.3	227901
63190	47.3	207289
62025	44.9	231578
63953	46.5	169279
46476	38.2	86268
54634	53.9	245432
48687	43.8	101777
45687	38.6	89620
44669	39.8	97599
44548	36.1	17216
60889	40.6	60818
58250	39.3	70604
74163	52.2	229843
77917	58.7	360227
49117	33.6	20793
68426	55.4	155429
51708	37.9	48120
56403	47.3	81016
52189	53.9	96566
51344	48.8	93937
70181	60.2	297175
48615	48.2	126456
45058	38.4	87814
36226	47.9	36605
39910	34.7	14859
38792	36.5	38523
41589	36.4	39730
52282	51.9	160554
42944	41.3	89515
42694	41.8	72590
51130	52	178117
46707	45.7	114010
43071	68.5	263518
45860	46.8	133720
53765	57.2	234159
43273	65.5	200976
30926	51.4	46430
37709	43	53264
53142	41.6	46912
30827	41.8	13934
32771	35.1	21710
33756	38.8	14359
36045	50.2	48854
30069	41.9	23300
35885	46.6	96313
27104	38.6	21144
30064	34.8	13185
40922	53.9	87176
37775	40.3	30318
38337	38.9	24221
23406	35.5	10166
39007	39.8	77515
50993	53.8	86281
39238	37.4	14605
41752	40.9	14109
46606	45.7	97620
38531	36	32909
36471	31.6	13313
21814	27.1	9505
42408	38.1	93218
37275	42.4	31604
49743	38.6	106114
46376	37.2	81436
49788	35.7	84612
47153	42.7	105602
40544	41.1	81883
45564	41.5	115664
41020	42.4	99611
37290	39.6	57958
39570	40.5	37736
43681	40.2	77343
33006	35.8	13438
36672	31	13586
32433	44.5	13023
45663	35.5	71844
41945	36.7	15601
36109	36.6	50680
48868	45.7	155654
52139	39.1	124612
60764	45	122435
41679	41.2	48256
38551	46.4	42954
48031	44.4	83177
50467	35.6	117754
41923	38.5	99310
38197	40.6	53019
45888	40.4	73481
43346	40.2	72108
41375	39.8	76940
37028	45.3	41667
44008	38.3	54999
37166	41.4	68647
38757	39.8	50313
42817	41.4	73342
42531	38.2	52640
35243	40.3	14570
45607	43.9	124396
47655	38	118684
45822	37.9	111275
57687	39.8	169855
46147	43.3	126220
61224	35.8	180811
55963	43.1	151786
59443	45.8	237616
51845	37	92633
45331	42	95241
39185	42.6	63020
53895	37.8	136555
45191	43.1	127294
32217	43.4	25016
24265	39.3	11848
34338	41.3	14888
29504	31.5	12697
41555	49.9	106177
36079	45.3	39641
34038	40.6	57892
32192	38.2	12232
47765	44.5	98936
41369	43.4	94968
45588	39.3	54781
33818	38.9	15870
35293	42.6	43085
42853	42.3	105316
25590	31.2	10940
26719	33	12013
33484	38.1	37536
38310	47.3	84179
28474	32.2	11455
41814	43.5	94088
46866	42.2	123080
36701	46.3	77115
40928	47.4	141272
24383	43.5	12435
31813	46	56729
33009	46.4	26322
35177	36	13132
36161	40.4	27780
21198	45.8	10540
24887	34.9	12153
28125	39	20720
25994	44.2	14384
31381	50.7	14782
21909	37.8	11477
18256	38.8	10694
